"ID","Address","Name","Size","Organization","Description","Units","X Address","Y Address","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"-","0x5f49","16 bit KFZW load axis patch #1","8x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","0.0","254.0","0x0","0xfe","FC 30 00 F2 FD 90 F9 F2","","",""
"-","0x5f55","16 bit KFZW load axis patch #2","4x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","0.0","246.0","0x0","0xf6","00 42 76 F6","","",""
"-","0x10030","Axis: Load (KFZW, 16bit) (HEX)","13x1","16 Bit (LoHi)","-","-","-","-","-","-","1.0","1.0","1.0","65535.0","65535.0","0xffff","0xffff","000C
01A0 0300 0480 0680 0860 0A60
0C5F 103F 141F 181F 1C00 1FDF","","",""
"-","0x10032","Axis: Load (KFZW, 16bit)","12x1","16 Bit (LoHi)","-","-","-","-","-","-","0.023438","1.0","1.0","1536.00933","1536.00933","0xffff","0xffff","-","","",""
"-","0x10032","Axis: Load (KFZW, 16bit)","12x1","16 Bit (LoHi)","-","-","-","-","-","-","0.02344","1.0","1.0","1536.1404","1536.1404","0xffff","0xffff","0C 00 A0 01 00 03 80 04 80 06 60 08 60 0A 5F 0C 3F 10 1F 14 1F 18 00 1C DF 1F","","",""
"SLD04LDUB","0x10070","Axis: hPa (KFLDRQ2)","4x1","8 Bit","-","hPa","-","-","?","-","10.0","1.0","1.0","0.0","700.0","0x0","0x46","1/2","Stützstellenverteilung für Ladedruckregelung","Stützstellenverteilung für Ladedruckregelung","Stützstellenverteilung für Ladedruckregelung"
"-","0x1007c","Axis: RPM (misfire detection)","8x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","800.0","6600.0","0x14","0xa5","-","","",""
"-","0x100c2","Axis: RPM (timing)","16x1","8 Bit","-","U/min","-","-","-","-","40.0","1.0","1.0","440.0","6520.0","0xb","0xa3","-","","",""
"SPU08LDUB","0x100d3","Axis: hPa (KFLDIOPU)","8x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","1200.0","2020.0","0x78","0xca","1/2","Stützstellenverteilung für Ladedruckregelung","Stützstellenverteilung für Ladedruckregelung","Stützstellenverteilung für Ladedruckregelung"
"-","0x100ff","Axis: Load (timing)","12x1","8 Bit","-","%","-","0x100f2","-","-","0.75","1.0","1.0","9.75","191.25","0xd","0xff","-","","",""
"KVNPZ (AR 101B7)","0x101a1","Normalized fuel consumption per cylinder for display","1x1","8 Bit","-","L/Zyl.","-","-","-","-","0.02","1.0","1.0","0.84","0.84","0x2a","0x2a","-","normierter Krafstoffverbrauch pro Zylinder für Kombiausgabe","normierter Krafstoffverbrauch pro Zylinder für Kombiausgabe","normierter Krafstoffverbrauch pro Zylinder für Kombiausgabe"
"MDNORM","0x101a3","Maximum indicated torque for torque normalization","1x1","8 Bit","-","Nm","-","-","-","-","10.0","1.0","1.0","600.0","600.0","0x3c","0x3c","-","Maximales indiziertes Motormoment für Moment-Normierung","Maximales indiziertes Motormoment für Moment-Normierung","Maximales indiziertes Motormoment für Moment-Normierung"
"KFDLUR (RS4 10330)","0x10333","Map: Rough running deviation (dluts) reference value","8x8","8 Bit","Umrechnung Laufunruhe in DMD","(Umdr./sec)^2","0x1007c","0x100e9","Upm","%","0.454748","40.0","0.75","5.9117239999999995","57.752995999999996","0xd","0x7f","-","","Kennfeld für Laufunruhedifferenz dluts Referenzwert","Kennfeld für Laufunruhedifferenz dluts Referenzwert"
"KFDLUR1 (RS4 10370)","0x10373","Map: Rough running deviation (dluts) reference value 1","8x8","8 Bit","Umrechnung Laufunruhe in DMD","(Umdr./sec)^2","0x1007c","0x100e9","Upm","%","0.454748","40.0","0.75","5.9117239999999995","57.752995999999996","0xd","0x7f","-","Kennfeld für Laufunruhedifferenz dluts Referenzwert","Kennfeld für Laufunruhedifferenz dluts Referenzwert","Kennfeld für Laufunruhedifferenz dluts Referenzwert"
"KFDLUR2 (RS4 103B0)","0x103b3","Map: Rough running deviation (dluts) reference value 2","8x8","8 Bit","Umrechnung Laufunruhe in DMD","(Umdr./sec)^2","0x1007c","0x100e9","Upm","%","0.454748","40.0","0.75","5.9117239999999995","57.752995999999996","0xd","0x7f","-","Kennfeld für Laufunruhedifferenz dluts Referenzwert","Kennfeld für Laufunruhedifferenz dluts Referenzwert","Kennfeld für Laufunruhedifferenz dluts Referenzwert"
"KFDLURZ (RS4 103F0)","0x103f3","Map: Rough running deviation (dluts) reference value during ZAS","8x8","8 Bit","Umrechnung Laufunruhe in DMD","(Umdr./sec)^2","0x1007c","0x100e9","Upm","%","0.454748","40.0","0.75","5.9117239999999995","57.752995999999996","0xd","0x7f","-","Kennfeld für Laufunruhedifferenz dluts Referenzwert bei ZAS","Kennfeld für Laufunruhedifferenz dluts Referenzwert bei ZAS","Kennfeld für Laufunruhedifferenz dluts Referenzwert bei ZAS"
"NMIDLU (AR 105B9)","0x10433","Minimum engine speed for misfire recognition attenuation DMDDLU","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","640.0","640.0","0x10","0x10","-","Min. Drehzahl für Ausblendung der Aussetzererkennung DMDDLU","Min. Drehzahl für Ausblendung der Aussetzererkennung DMDDLU","Min. Drehzahl für Ausblendung der Aussetzererkennung DMDDLU"
"NMIALU (AR 105C8)","0x10437","Minimum engine speed for misfire recognition attenuation","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","480.0","480.0","0xc","0xc","-","Min. Drehzahl für Ausblendung der Aussetzererkennung","Min. Drehzahl für Ausblendung der Aussetzererkennung","Min. Drehzahl für Ausblendung der Aussetzererkennung"
"RLSALULL","0x10439","Load threshold for surge recognition for misfire recognition attenuation during idle","1x1","8 Bit","-","%","-","-","-","-","0.75","1.0","1.0","15.75","15.75","0x15","0x15","-","","Lastschwelle zur Schuberkennung für Ausblendung der Aussetzererkennung im LL","Lastschwelle zur Schuberkennung für Ausblendung der Aussetzererkennung im LL"
"RLSALUN","0x1043a","Load threshold for surge recognition for misfire recognition attenuation","8x1","8 Bit","-","%","0x1007c","-","Upm","-","0.75","40.0","1.0","13.5","31.5","0x12","0x2a","-","","Lastschwelle zur Schuberkennung für Ausblendung der Aussetzererkennung","Lastschwelle zur Schuberkennung für Ausblendung der Aussetzererkennung"
"-","0x106ad","CLA DTC table","1x354","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","0.0","53.0","0x0","0x35","-","","",""
"CLAATR","0x106b0","Failure code exhaust gas temperature sensor regulation bank 1","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","19.0","19.0","0x13","0x13","-","Fehlerklasse Abgastemperaturregelung","Fehlerklasse Abgastemperaturregelung","Fehlerklasse Abgastemperaturregelung"
"CLAATR2","0x106b1","Failure code exhaust gas temperature sensor regulation bank 2","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","19.0","19.0","0x13","0x13","-","Fehlerklasse Abgastemperaturregelung Bank 2","Fehlerklasse Abgastemperaturregelung Bank 2","Fehlerklasse Abgastemperaturregelung Bank 2"
"CLAATS","0x106b4","Failure code exhaust gas temperature sensor bank 1","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","19.0","19.0","0x13","0x13","-","Fehlerklasse Abgastemperatursensor","Fehlerklasse Abgastemperatursensor","Fehlerklasse Abgastemperatursensor"
"CLAATS2","0x106b5","Failure code exhaust gas temperature sensor bank 2","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","19.0","19.0","0x13","0x13","-","Fehlerklasse Abgastemperatursensor Bank 2","Fehlerklasse Abgastemperatursensor Bank 2","Fehlerklasse Abgastemperatursensor Bank 2"
"CLACINS","0x106c3","Codeword: Error Class: CAN-Timeout message instrument cluster","1x1","8 Bit","1:1 conversion (dec/hex)","-","-","-","-","-","1.0","1.0","1.0","19.0","19.0","0x13","0x13","-","Fehlerklasse: CAN-Timeout Botschaft Kombiinstrument","Fehlerklasse: CAN-Timeout Botschaft Kombiinstrument","Fehlerklasse: CAN-Timeout Botschaft Kombiinstrument"
"CLAHSH","0x106f0","Error class: Bank 1 post cat O2 sensor heater","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Fehlerklasse: Heizung Lambdasonde hinter Kat","Fehlerklasse: Heizung Lambdasonde hinter Kat","Fehlerklasse: Heizung Lambdasonde hinter Kat"
"CLAHSH2","0x106f1","Error class: Bank 2 post cat O2 sensor heater","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Fehlerklasse: Heizung Lambdasonde 2 hinter Kat","Fehlerklasse: Heizung Lambdasonde 2 hinter Kat","Fehlerklasse: Heizung Lambdasonde 2 hinter Kat"
"CLAHSHE","0x106f2","Error class: Bank 1 post cat O2 sensor heater amplifier","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Fehlerklasse: Endstufe Heizung Lambdasonde hinter Kat","Fehlerklasse: Endstufe Heizung Lambdasonde hinter Kat","Fehlerklasse: Endstufe Heizung Lambdasonde hinter Kat"
"CLAHSHE2","0x106f3","Error class: Bank 2 post cat O2 sensor heater amplifier","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Fehlerklasse: Endstufe Heizung Lambdasonde 2 hinter Kat","Fehlerklasse: Endstufe Heizung Lambdasonde 2 hinter Kat","Fehlerklasse: Endstufe Heizung Lambdasonde 2 hinter Kat"
